Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.071637
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.228187
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.040601
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.047924
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.013052
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.221195
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.146472
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.023730
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.116920
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.023375
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.098316
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.023520
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.066707
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.051440
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.042682
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.059996
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.047077
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.019983
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.004861
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.006893
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.105365
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.033582
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.078781
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.087339
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.219346
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.188525
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.060992
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.008719
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.054937
Train Epoch: 3 [29440/60000 (49%)]	Loss: 0.015250
Train Epoch: 3 [30080/60000 (50%)]	Loss: 0.127125
Train Epoch: 3 [30720/60000 (51%)]	Loss: 0.016166
Train Epoch: 3 [31360/60000 (52%)]	Loss: 0.015939
Train Epoch: 3 [32000/60000 (53%)]	Loss: 0.010551
Train Epoch: 3 [32640/60000 (54%)]	Loss: 0.046159
Train Epoch: 3 [33280/60000 (55%)]	Loss: 0.070060
Train Epoch: 3 [33920/60000 (57%)]	Loss: 0.014836
Train Epoch: 3 [34560/60000 (58%)]	Loss: 0.008947
Train Epoch: 3 [35200/60000 (59%)]	Loss: 0.082623
Train Epoch: 3 [35840/60000 (60%)]	Loss: 0.202473
Train Epoch: 3 [36480/60000 (61%)]	Loss: 0.053970
Train Epoch: 3 [37120/60000 (62%)]	Loss: 0.014288
Train Epoch: 3 [37760/60000 (63%)]	Loss: 0.014621
Train Epoch: 3 [38400/60000 (64%)]	Loss: 0.055939
Train Epoch: 3 [39040/60000 (65%)]	Loss: 0.009809
Train Epoch: 3 [39680/60000 (66%)]	Loss: 0.057485
Train Epoch: 3 [40320/60000 (67%)]	Loss: 0.020942
Train Epoch: 3 [40960/60000 (68%)]	Loss: 0.020085
Train Epoch: 3 [41600/60000 (69%)]	Loss: 0.113049
Train Epoch: 3 [42240/60000 (70%)]	Loss: 0.016204
Train Epoch: 3 [42880/60000 (71%)]	Loss: 0.021787
Train Epoch: 3 [43520/60000 (72%)]	Loss: 0.176709
Train Epoch: 3 [44160/60000 (74%)]	Loss: 0.089229
Train Epoch: 3 [44800/60000 (75%)]	Loss: 0.007617
Train Epoch: 3 [45440/60000 (76%)]	Loss: 0.025954
Train Epoch: 3 [46080/60000 (77%)]	Loss: 0.044554
Train Epoch: 3 [46720/60000 (78%)]	Loss: 0.040833
Train Epoch: 3 [47360/60000 (79%)]	Loss: 0.038497
Train Epoch: 3 [48000/60000 (80%)]	Loss: 0.014003
Train Epoch: 3 [48640/60000 (81%)]	Loss: 0.033049
Train Epoch: 3 [49280/60000 (82%)]	Loss: 0.036508
Train Epoch: 3 [49920/60000 (83%)]	Loss: 0.157966
Train Epoch: 3 [50560/60000 (84%)]	Loss: 0.022460
Train Epoch: 3 [51200/60000 (85%)]	Loss: 0.007310
Train Epoch: 3 [51840/60000 (86%)]	Loss: 0.023496
Train Epoch: 3 [52480/60000 (87%)]	Loss: 0.003525
Train Epoch: 3 [53120/60000 (88%)]	Loss: 0.097419
Train Epoch: 3 [53760/60000 (90%)]	Loss: 0.080868
Train Epoch: 3 [54400/60000 (91%)]	Loss: 0.020117
Train Epoch: 3 [55040/60000 (92%)]	Loss: 0.132271
Train Epoch: 3 [55680/60000 (93%)]	Loss: 0.052479
Train Epoch: 3 [56320/60000 (94%)]	Loss: 0.110553
Train Epoch: 3 [56960/60000 (95%)]	Loss: 0.016221
Train Epoch: 3 [57600/60000 (96%)]	Loss: 0.124091
Train Epoch: 3 [58240/60000 (97%)]	Loss: 0.042625
Train Epoch: 3 [58880/60000 (98%)]	Loss: 0.019649
Train Epoch: 3 [59520/60000 (99%)]	Loss: 0.007009

Test set: Average loss: 0.0355, Accuracy: 9878/10000 (99%)

Train Epoch: 4 [0/60000 (0%)]	Loss: 0.039343
Train Epoch: 4 [640/60000 (1%)]	Loss: 0.053502
Train Epoch: 4 [1280/60000 (2%)]	Loss: 0.006303
Train Epoch: 4 [1920/60000 (3%)]	Loss: 0.033581
Train Epoch: 4 [2560/60000 (4%)]	Loss: 0.026819
